Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,11000.0,1067.28
Aug 2014,2014-08-28,11000.0,1245.53,1020.461201,0.0,164.69,1000.0,164.69,1164.69,10000.0,2361.33
Sep 2014,2014-09-30,10000.0,2408.87,1034.072399,0.0,0.0,1000.0,0.0,1000.0,9000.0,3447.79
Oct 2014,2014-10-31,9000.0,3572.39,1047.699096,0.0,0.0,1000.0,0.0,1000.0,8000.0,4615.99
Nov 2014,2014-11-28,8000.0,4939.46,1078.288181,0.0,0.0,1000.0,0.0,1000.0,7000.0,5981.82
Dec 2014,2014-12-31,7000.0,5796.16,1066.346778,0.0,0.0,1000.0,0.0,1000.0,6000.0,6793.54
Jan 2015,2015-01-30,6000.0,7529.49,1127.457245,0.0,0.0,1000.0,0.0,1000.0,5000.0,8616.65
Feb 2015,2015-02-27,5000.0,8955.33,1162.944177,0.0,155.09,1000.0,155.09,1155.09,4000.0,10025.09
Mar 2015,2015-03-31,4000.0,10209.29,1184.107796,0.0,0.0,1000.0,0.0,1000.0,3000.0,11195.31
Apr 2015,2015-04-30,3000.0,11149.57,1179.130988,0.0,134.55,1000.0,134.55,1134.55,2000.0,12126.11
May 2015,2015-05-29,2000.0,12349.55,1195.796242,0.0,0.0,1000.0,0.0,1000.0,1000.0,13367.19
Jun 2015,2015-06-30,1000.0,14467.72,1288.97688,0.0,0.0,1000.0,0.0,1000.0,0.0,15534.23
Jul 2015,2015-07-31,0.0,16706.55,1392.21216,0.0,1144.47,0.0,1144.47,1144.47,0.0,16848.29
Aug 2015,2015-08-31,0.0,16469.49,1372.457362,0.0,647.04,0.0,647.04,647.04,0.0,16429.01
Sep 2015,2015-09-30,0.0,17865.15,1488.762873,0.0,615.31,0.0,615.31,615.31,0.0,17935.99
Oct 2015,2015-10-30,0.0,18011.23,1500.93543,0.0,882.94,0.0,882.94,882.94,0.0,18052.39
Nov 2015,2015-11-30,0.0,18531.85,1544.320501,0.0,733.61,0.0,733.61,733.61,0.0,18599.11
Dec 2015,2015-12-31,0.0,19698.64,1641.553054,0.0,0.0,0.0,0.0,0.0,0.0,19698.64
Jan 2016,2016-01-29,0.0,18878.31,1573.192224,0.0,550.47,0.0,550.47,550.47,0.0,18830.07
Feb 2016,2016-02-29,0.0,17497.53,1458.127293,0.0,891.0,0.0,891.0,891.0,0.0,17395.6
Mar 2016,2016-03-31,0.0,20190.99,1682.582532,0.0,776.58,0.0,776.58,776.58,0.0,20285.24
Apr 2016,2016-04-29,0.0,20858.21,1738.183958,0.0,0.0,0.0,0.0,0.0,0.0,20858.21
May 2016,2016-05-31,0.0,21595.97,1799.664068,0.0,0.0,0.0,0.0,0.0,0.0,21595.97
Jun 2016,2016-06-30,0.0,22259.13,1854.927104,0.0,268.52,0.0,268.52,268.52,0.0,22266.15
Jul 2016,2016-07-29,0.0,25677.51,2139.792437,0.0,177.29,0.0,177.29,177.29,0.0,25696.46
Aug 2016,2016-08-31,0.0,28762.64,2396.886374,0.0,0.0,0.0,0.0,0.0,0.0,28762.64
Sep 2016,2016-09-30,0.0,29149.93,2429.160512,0.0,695.15,0.0,695.15,695.15,0.0,29170.71
Oct 2016,2016-10-28,0.0,31095.33,2591.277322,0.0,618.99,0.0,618.99,618.99,0.0,31112.41
Nov 2016,2016-11-30,0.0,28532.85,2377.73768,0.0,256.96,0.0,256.96,256.96,0.0,28505.37
Dec 2016,2016-12-30,0.0,26954.38,2246.198347,0.0,69.46,0.0,69.46,69.46,0.0,26952.26
Jan 2017,2017-01-31,0.0,30608.54,2550.711886,0.0,188.55,0.0,188.55,188.55,0.0,30628.38
Feb 2017,2017-02-28,0.0,32297.57,2691.463772,0.0,251.62,0.0,251.62,251.62,0.0,32311.73
Mar 2017,2017-03-31,0.0,34334.17,2861.180518,0.0,296.84,0.0,296.84,296.84,0.0,34339.12
Apr 2017,2017-04-28,0.0,38212.14,3184.345296,0.0,937.74,0.0,937.74,937.74,0.0,38317.19
