Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
KKCL.NS,0.741686,337.07,250.0,354.02,262.57,23.616,Jul 2014,2014-07-31
BALKRISIND.NS,0.689578,362.54,250.0,388.82,268.12,24.116,Jul 2014,2014-07-31
AJANTPHARM.NS,0.571542,437.41,250.0,430.39,245.98,22.124,Jul 2014,2014-07-31
ATUL.NS,0.280978,889.75,250.0,1192.75,335.14,30.144,Jul 2014,2014-07-31
KKCL.NS,1.47023,340.08,500.0,345.2,507.52,23.703,Aug 2014,2014-08-28
BALKRISIND.NS,1.350949,370.11,500.0,356.81,482.04,22.513,Aug 2014,2014-08-28
AJANTPHARM.NS,1.131394,441.93,500.0,423.99,479.7,22.404,Aug 2014,2014-08-28
ATUL.NS,0.495294,1009.5,500.0,1356.6,671.92,31.381,Aug 2014,2014-08-28
KKCL.NS,1.47023,340.08,500.0,368.64,541.99,16.35,Sep 2014,2014-09-30
BALKRISIND.NS,2.044477,366.84,750.0,380.9,778.75,23.492,Sep 2014,2014-09-30
AJANTPHARM.NS,1.707466,439.25,750.0,461.71,788.35,23.782,Sep 2014,2014-09-30
ATUL.NS,0.678888,1104.75,750.0,1389.6,943.38,28.458,Sep 2014,2014-09-30
TORNTPHARM.NS,0.602446,414.98,250.0,435.73,262.5,7.919,Sep 2014,2014-09-30
KKCL.NS,1.47023,340.08,500.0,338.67,497.92,11.802,Oct 2014,2014-10-31
BALKRISIND.NS,3.249734,374.35,1216.52,378.62,1230.41,29.163,Oct 2014,2014-10-31
AJANTPHARM.NS,1.707466,439.25,750.0,506.52,864.87,20.499,Oct 2014,2014-10-31
TORNTPHARM.NS,0.602446,414.98,250.0,440.95,265.65,6.296,Oct 2014,2014-10-31
ZENSARTECH.NS,3.77629,123.54,466.52,121.45,458.63,10.871,Oct 2014,2014-10-31
RATNAMANI.NS,1.642879,283.97,466.52,306.1,502.89,11.92,Oct 2014,2014-10-31
ASTRAL.NS,2.602202,179.28,466.52,153.2,398.66,9.449,Oct 2014,2014-10-31
KKCL.NS,1.47023,340.08,500.0,379.21,557.53,9.745,Nov 2014,2014-11-28
BALKRISIND.NS,3.249734,374.35,1216.52,309.39,1005.45,17.574,Nov 2014,2014-11-28
AJANTPHARM.NS,2.198818,454.79,1000.0,629.96,1385.17,24.211,Nov 2014,2014-11-28
TORNTPHARM.NS,0.602446,414.98,250.0,513.78,309.52,5.41,Nov 2014,2014-11-28
ZENSARTECH.NS,3.77629,123.54,466.52,118.11,446.02,7.796,Nov 2014,2014-11-28
RATNAMANI.NS,2.445877,292.95,716.52,392.3,959.52,16.771,Nov 2014,2014-11-28
ASTRAL.NS,4.166927,171.95,716.52,196.18,817.46,14.288,Nov 2014,2014-11-28
ATUL.NS,0.188104,1329.05,250.0,1279.2,240.62,4.206,Nov 2014,2014-11-28
KKCL.NS,1.47023,340.08,500.0,389.07,572.02,8.34,Dec 2014,2014-12-31
BALKRISIND.NS,3.249734,374.35,1216.52,301.35,979.32,14.279,Dec 2014,2014-12-31
AJANTPHARM.NS,2.689438,489.05,1315.27,620.57,1668.99,24.334,Dec 2014,2014-12-31
TORNTPHARM.NS,1.168998,483.55,565.27,565.17,660.69,9.633,Dec 2014,2014-12-31
ZENSARTECH.NS,3.77629,123.54,466.52,120.88,456.48,6.656,Dec 2014,2014-12-31
RATNAMANI.NS,3.251376,317.34,1031.8,462.53,1503.87,21.927,Dec 2014,2014-12-31
ASTRAL.NS,5.74309,179.66,1031.8,177.12,1017.22,14.831,Dec 2014,2014-12-31
KKCL.NS,1.47023,340.08,500.0,383.74,564.19,6.989,Jan 2015,2015-01-30
BALKRISIND.NS,3.249734,374.35,1216.52,319.03,1036.76,12.844,Jan 2015,2015-01-30
AJANTPHARM.NS,3.087004,507.05,1565.27,681.27,2103.07,26.054,Jan 2015,2015-01-30
TORNTPHARM.NS,1.605489,507.8,815.27,549.85,882.78,10.936,Jan 2015,2015-01-30
ZENSARTECH.NS,3.77629,123.54,466.52,130.48,492.73,6.104,Jan 2015,2015-01-30
RATNAMANI.NS,3.791838,338.04,1281.8,467.03,1770.91,21.939,Jan 2015,2015-01-30
ASTRAL.NS,5.74309,179.66,1031.8,171.77,986.46,12.221,Jan 2015,2015-01-30
ATUL.NS,0.181878,1374.55,250.0,1292.75,235.12,2.913,Jan 2015,2015-01-30
KKCL.NS,1.47023,340.08,500.0,360.13,529.47,5.63,Feb 2015,2015-02-27
BALKRISIND.NS,3.249734,374.35,1216.52,295.82,961.35,10.222,Feb 2015,2015-02-27
AJANTPHARM.NS,3.456164,525.23,1815.27,726.97,2512.54,26.716,Feb 2015,2015-02-27
TORNTPHARM.NS,1.605489,507.8,815.27,521.58,837.38,8.904,Feb 2015,2015-02-27
ZENSARTECH.NS,3.77629,123.54,466.52,144.37,545.18,5.797,Feb 2015,2015-02-27
RATNAMANI.NS,4.297433,356.44,1531.8,496.17,2132.24,22.672,Feb 2015,2015-02-27
ASTRAL.NS,5.74309,179.66,1031.8,200.34,1150.57,12.234,Feb 2015,2015-02-27
ATUL.NS,0.370479,1349.61,500.0,1302.0,482.36,5.129,Feb 2015,2015-02-27
BERGEPAINT.NS,1.883831,132.71,250.0,134.61,253.59,2.696,Feb 2015,2015-02-27
KKCL.NS,1.47023,340.08,500.0,425.16,625.08,6.037,Mar 2015,2015-03-31
BALKRISIND.NS,3.249734,374.35,1216.52,324.52,1054.62,10.185,Mar 2015,2015-03-31
TORNTPHARM.NS,1.605489,507.8,815.27,579.3,930.06,8.982,Mar 2015,2015-03-31
ZENSARTECH.NS,10.415724,136.76,1424.46,128.62,1339.67,12.938,Mar 2015,2015-03-31
RATNAMANI.NS,6.243011,398.8,2489.73,458.13,2860.13,27.623,Mar 2015,2015-03-31
ASTRAL.NS,5.74309,179.66,1031.8,201.53,1157.42,11.178,Mar 2015,2015-03-31
ATUL.NS,1.112634,1310.35,1457.94,1132.0,1259.5,12.164,Mar 2015,2015-03-31
BERGEPAINT.NS,9.081214,133.01,1207.94,124.2,1127.85,10.893,Mar 2015,2015-03-31
KKCL.NS,1.47023,340.08,500.0,445.08,654.37,5.602,Apr 2015,2015-04-30
TORNTPHARM.NS,2.551109,541.14,1380.52,600.92,1533.03,13.124,Apr 2015,2015-04-30
ZENSARTECH.NS,10.415724,136.76,1424.46,139.71,1455.18,12.457,Apr 2015,2015-04-30
RATNAMANI.NS,7.465778,409.2,3054.98,450.3,3361.84,28.78,Apr 2015,2015-04-30
ASTRAL.NS,5.74309,179.66,1031.8,198.54,1140.23,9.761,Apr 2015,2015-04-30
ATUL.NS,1.602851,1262.24,2023.18,1158.05,1856.18,15.89,Apr 2015,2015-04-30
BERGEPAINT.NS,9.081214,133.01,1207.94,125.39,1138.67,9.748,Apr 2015,2015-04-30
ZYDUSWELL.NS,2.767821,204.22,565.24,195.71,541.69,4.637,Apr 2015,2015-04-30
KKCL.NS,1.47023,340.08,500.0,399.12,586.8,4.774,May 2015,2015-05-29
TORNTPHARM.NS,2.977876,547.54,1630.52,602.38,1793.8,14.594,May 2015,2015-05-29
ZENSARTECH.NS,12.227187,136.95,1674.46,154.82,1893.01,15.401,May 2015,2015-05-29
RATNAMANI.NS,8.010401,412.59,3304.98,392.97,3147.82,25.609,May 2015,2015-05-29
ASTRAL.NS,5.74309,179.66,1031.8,173.3,995.25,8.097,May 2015,2015-05-29
ATUL.NS,1.602851,1262.24,2023.18,1171.3,1877.42,15.274,May 2015,2015-05-29
BERGEPAINT.NS,9.081214,133.01,1207.94,126.58,1149.48,9.352,May 2015,2015-05-29
ZYDUSWELL.NS,2.767821,204.22,565.24,198.89,550.49,4.479,May 2015,2015-05-29
AJANTPHARM.NS,0.282656,884.47,250.0,1053.1,297.67,2.422,May 2015,2015-05-29
KKCL.NS,1.47023,340.08,500.0,423.36,622.44,4.864,Jun 2015,2015-06-30
TORNTPHARM.NS,3.507732,557.18,1954.43,650.72,2282.57,17.838,Jun 2015,2015-06-30
ZENSARTECH.NS,14.356523,139.2,1998.37,131.59,1889.17,14.763,Jun 2015,2015-06-30
RATNAMANI.NS,8.010401,412.59,3304.98,366.27,2933.94,22.928,Jun 2015,2015-06-30
ASTRAL.NS,5.74309,179.66,1031.8,174.85,1004.17,7.847,Jun 2015,2015-06-30
ATUL.NS,1.602851,1262.24,2023.18,1195.2,1915.73,14.971,Jun 2015,2015-06-30
BERGEPAINT.NS,11.679335,131.16,1531.85,116.28,1358.07,10.613,Jun 2015,2015-06-30
ZYDUSWELL.NS,4.406485,201.78,889.16,179.36,790.35,6.176,Jun 2015,2015-06-30
KKCL.NS,1.47023,340.08,500.0,437.67,643.48,4.419,Jul 2015,2015-07-31
TORNTPHARM.NS,4.44335,579.13,2573.3,720.83,3202.88,21.996,Jul 2015,2015-07-31
ZENSARTECH.NS,18.956032,138.07,2617.24,191.06,3621.74,24.873,Jul 2015,2015-07-31
RATNAMANI.NS,8.010401,412.59,3304.98,379.93,3043.42,20.901,Jul 2015,2015-07-31
ATUL.NS,1.602851,1262.24,2023.18,1270.55,2036.5,13.986,Jul 2015,2015-07-31
ZYDUSWELL.NS,4.406485,201.78,889.16,177.71,783.08,5.378,Jul 2015,2015-07-31
BAJFINANCE.NS,11.255756,54.98,618.86,55.11,620.34,4.26,Jul 2015,2015-07-31
JUBLFOOD.NS,3.327047,186.01,618.86,183.21,609.56,4.186,Jul 2015,2015-07-31
KKCL.NS,1.47023,340.08,500.0,442.2,650.14,4.55,Aug 2015,2015-08-31
ZENSARTECH.NS,23.513386,149.27,3509.8,167.29,3933.55,27.529,Aug 2015,2015-08-31
RATNAMANI.NS,8.010401,412.59,3304.98,399.67,3201.49,22.406,Aug 2015,2015-08-31
ATUL.NS,1.602851,1262.24,2023.18,1352.85,2168.42,15.176,Aug 2015,2015-08-31
ZYDUSWELL.NS,9.362111,190.31,1781.72,174.52,1633.88,11.435,Aug 2015,2015-08-31
BAJFINANCE.NS,26.963303,56.05,1511.42,50.21,1353.88,9.475,Aug 2015,2015-08-31
JUBLFOOD.NS,8.082029,187.01,1511.42,166.72,1347.44,9.43,Aug 2015,2015-08-31
KKCL.NS,1.47023,340.08,500.0,429.97,632.15,4.386,Sep 2015,2015-09-30
ZENSARTECH.NS,23.513386,149.27,3509.8,161.59,3799.53,26.364,Sep 2015,2015-09-30
RATNAMANI.NS,8.010401,412.59,3304.98,410.33,3286.93,22.807,Sep 2015,2015-09-30
ATUL.NS,1.602851,1262.24,2023.18,1555.5,2493.23,17.3,Sep 2015,2015-09-30
ZYDUSWELL.NS,9.362111,190.31,1781.72,162.59,1522.19,10.562,Sep 2015,2015-09-30
BAJFINANCE.NS,26.963303,56.05,1511.42,51.31,1383.55,9.6,Sep 2015,2015-09-30
JUBLFOOD.NS,8.082029,187.01,1511.42,160.13,1294.22,8.98,Sep 2015,2015-09-30
KKCL.NS,1.47023,340.08,500.0,420.5,618.23,4.003,Oct 2015,2015-10-30
ZENSARTECH.NS,23.513386,149.27,3509.8,192.64,4529.62,29.33,Oct 2015,2015-10-30
RATNAMANI.NS,8.010401,412.59,3304.98,427.77,3426.58,22.187,Oct 2015,2015-10-30
ATUL.NS,1.602851,1262.24,2023.18,1670.25,2677.16,17.335,Oct 2015,2015-10-30
ZYDUSWELL.NS,9.362111,190.31,1781.72,170.95,1600.45,10.363,Oct 2015,2015-10-30
BAJFINANCE.NS,26.963303,56.05,1511.42,52.22,1408.12,9.118,Oct 2015,2015-10-30
JUBLFOOD.NS,8.082029,187.01,1511.42,146.46,1183.69,7.664,Oct 2015,2015-10-30
ZENSARTECH.NS,24.230653,150.69,3651.31,218.2,5287.13,33.686,Nov 2015,2015-11-30
RATNAMANI.NS,8.010401,412.59,3304.98,378.67,3033.27,19.326,Nov 2015,2015-11-30
ATUL.NS,1.602851,1262.24,2023.18,1640.0,2628.68,16.748,Nov 2015,2015-11-30
ZYDUSWELL.NS,9.362111,190.31,1781.72,167.0,1563.47,9.961,Nov 2015,2015-11-30
BAJFINANCE.NS,29.672555,55.71,1652.93,55.41,1644.16,10.476,Nov 2015,2015-11-30
JUBLFOOD.NS,8.082029,187.01,1511.42,154.13,1245.72,7.937,Nov 2015,2015-11-30
KAJARIACER.NS,0.317446,445.77,141.51,473.45,150.29,0.958,Nov 2015,2015-11-30
ECLERX.NS,0.156037,906.9,141.51,913.0,142.46,0.908,Nov 2015,2015-11-30
ZENSARTECH.NS,24.406258,151.12,3688.29,217.89,5317.88,33.907,Dec 2015,2015-12-31
RATNAMANI.NS,8.010401,412.59,3304.98,363.4,2910.98,18.56,Dec 2015,2015-12-31
ATUL.NS,1.602851,1262.24,2023.18,1611.75,2583.4,16.472,Dec 2015,2015-12-31
ZYDUSWELL.NS,9.362111,190.31,1781.72,172.78,1617.59,10.314,Dec 2015,2015-12-31
BAJFINANCE.NS,30.332476,55.71,1689.91,60.1,1822.97,11.623,Dec 2015,2015-12-31
JUBLFOOD.NS,8.082029,187.01,1511.42,148.38,1199.25,7.646,Dec 2015,2015-12-31
KAJARIACER.NS,0.395378,451.44,178.49,491.25,194.23,1.238,Dec 2015,2015-12-31
DIVISLAB.NS,0.032558,1135.85,36.98,1154.85,37.6,0.24,Dec 2015,2015-12-31
ZENSARTECH.NS,24.406258,151.12,3688.29,180.87,4414.36,31.847,Jan 2016,2016-01-29
RATNAMANI.NS,8.010401,412.59,3304.98,332.07,2659.99,19.19,Jan 2016,2016-01-29
ATUL.NS,1.602851,1262.24,2023.18,1452.5,2328.14,16.796,Jan 2016,2016-01-29
ZYDUSWELL.NS,9.362111,190.31,1781.72,149.82,1402.63,10.119,Jan 2016,2016-01-29
BAJFINANCE.NS,30.332476,55.71,1689.91,59.28,1798.23,12.973,Jan 2016,2016-01-29
JUBLFOOD.NS,8.082029,187.01,1511.42,127.21,1028.16,7.417,Jan 2016,2016-01-29
KAJARIACER.NS,0.395378,451.44,178.49,487.23,192.64,1.39,Jan 2016,2016-01-29
DIVISLAB.NS,0.032558,1135.85,36.98,1140.95,37.15,0.268,Jan 2016,2016-01-29
ZENSARTECH.NS,26.133231,152.99,3998.21,168.59,4405.8,35.303,Feb 2016,2016-02-29
RATNAMANI.NS,8.010401,412.59,3304.98,283.33,2269.61,18.186,Feb 2016,2016-02-29
ATUL.NS,1.602851,1262.24,2023.18,1352.65,2168.1,17.373,Feb 2016,2016-02-29
BAJFINANCE.NS,35.49514,56.34,1999.83,59.32,2105.59,16.872,Feb 2016,2016-02-29
JUBLFOOD.NS,8.082029,187.01,1511.42,99.49,804.04,6.443,Feb 2016,2016-02-29
KAJARIACER.NS,1.034229,472.25,488.41,432.52,447.33,3.584,Feb 2016,2016-02-29
IGL.NS,5.496054,56.39,309.92,50.83,279.39,2.239,Feb 2016,2016-02-29
ZENSARTECH.NS,26.133231,152.99,3998.21,186.67,4878.29,34.568,Mar 2016,2016-03-31
RATNAMANI.NS,8.010401,412.59,3304.98,309.17,2476.55,17.549,Mar 2016,2016-03-31
ATUL.NS,1.602851,1262.24,2023.18,1534.3,2459.25,17.426,Mar 2016,2016-03-31
BAJFINANCE.NS,35.49514,56.34,1999.83,69.24,2457.74,17.416,Mar 2016,2016-03-31
JUBLFOOD.NS,8.082029,187.01,1511.42,127.68,1031.95,7.312,Mar 2016,2016-03-31
KAJARIACER.NS,1.034229,472.25,488.41,478.92,495.32,3.51,Mar 2016,2016-03-31
IGL.NS,5.496054,56.39,309.92,56.96,313.06,2.218,Mar 2016,2016-03-31
ZENSARTECH.NS,26.547516,153.57,4076.98,195.42,5187.92,34.99,Apr 2016,2016-04-29
RATNAMANI.NS,8.010401,412.59,3304.98,324.73,2601.24,17.544,Apr 2016,2016-04-29
ATUL.NS,1.654677,1270.31,2101.95,1800.95,2979.99,20.099,Apr 2016,2016-04-29
BAJFINANCE.NS,36.640501,56.73,2078.61,68.29,2502.22,16.876,Apr 2016,2016-04-29
JUBLFOOD.NS,8.082029,187.01,1511.42,115.69,935.05,6.306,Apr 2016,2016-04-29
KAJARIACER.NS,1.034229,472.25,488.41,524.88,542.84,3.661,Apr 2016,2016-04-29
TVSSRICHAK.NS,0.033835,2328.15,78.77,2294.15,77.62,0.524,Apr 2016,2016-04-29
ZENSARTECH.NS,26.547516,153.57,4076.98,189.78,5038.19,33.476,May 2016,2016-05-31
RATNAMANI.NS,8.010401,412.59,3304.98,330.0,2643.43,17.564,May 2016,2016-05-31
ATUL.NS,1.654677,1270.31,2101.95,1879.05,3109.22,20.659,May 2016,2016-05-31
BAJFINANCE.NS,36.640501,56.73,2078.61,75.89,2780.57,18.476,May 2016,2016-05-31
JUBLFOOD.NS,8.082029,187.01,1511.42,103.36,835.4,5.551,May 2016,2016-05-31
KAJARIACER.NS,1.034229,472.25,488.41,545.12,563.78,3.746,May 2016,2016-05-31
TVSSRICHAK.NS,0.033835,2328.15,78.77,2347.85,79.44,0.528,May 2016,2016-05-31
ZENSARTECH.NS,26.547516,153.57,4076.98,194.2,5155.53,32.699,Jun 2016,2016-06-30
RATNAMANI.NS,8.010401,412.59,3304.98,332.73,2665.33,16.905,Jun 2016,2016-06-30
ATUL.NS,1.654677,1270.31,2101.95,2050.5,3392.91,21.52,Jun 2016,2016-06-30
BAJFINANCE.NS,36.640501,56.73,2078.61,79.97,2930.03,18.584,Jun 2016,2016-06-30
JUBLFOOD.NS,8.082029,187.01,1511.42,113.6,918.08,5.823,Jun 2016,2016-06-30
KAJARIACER.NS,1.034229,472.25,488.41,603.0,623.64,3.955,Jun 2016,2016-06-30
TVSSRICHAK.NS,0.033835,2328.15,78.77,2397.6,81.12,0.515,Jun 2016,2016-06-30
ZENSARTECH.NS,26.547516,153.57,4076.98,210.33,5583.74,32.506,Jul 2016,2016-07-29
RATNAMANI.NS,8.010401,412.59,3304.98,347.47,2783.35,16.203,Jul 2016,2016-07-29
ATUL.NS,1.654677,1270.31,2101.95,1921.65,3179.71,18.511,Jul 2016,2016-07-29
BAJFINANCE.NS,36.640501,56.73,2078.61,103.73,3800.59,22.125,Jul 2016,2016-07-29
KAJARIACER.NS,1.446345,508.66,735.7,634.92,918.32,5.346,Jul 2016,2016-07-29
TVSSRICHAK.NS,0.033835,2328.15,78.77,2347.25,79.42,0.462,Jul 2016,2016-07-29
VGUARD.NS,2.480695,99.69,247.29,113.72,282.1,1.642,Jul 2016,2016-07-29
AARTIIND.NS,1.933279,127.91,247.29,134.86,260.73,1.518,Jul 2016,2016-07-29
AVANTIFEED.NS,1.43149,172.75,247.29,202.43,289.78,1.687,Jul 2016,2016-07-29
ZENSARTECH.NS,26.547516,153.57,4076.98,215.33,5716.48,31.276,Aug 2016,2016-08-31
RATNAMANI.NS,8.010401,412.59,3304.98,368.53,2952.1,16.151,Aug 2016,2016-08-31
ATUL.NS,1.654677,1270.31,2101.95,2226.45,3684.05,20.156,Aug 2016,2016-08-31
BAJFINANCE.NS,36.640501,56.73,2078.61,110.11,4034.52,22.073,Aug 2016,2016-08-31
KAJARIACER.NS,1.446345,508.66,735.7,630.7,912.21,4.991,Aug 2016,2016-08-31
TVSSRICHAK.NS,0.033835,2328.15,78.77,2603.45,88.09,0.482,Aug 2016,2016-08-31
VGUARD.NS,2.480695,99.69,247.29,135.96,337.29,1.845,Aug 2016,2016-08-31
AARTIIND.NS,1.933279,127.91,247.29,150.53,291.03,1.592,Aug 2016,2016-08-31
AVANTIFEED.NS,1.43149,172.75,247.29,183.05,262.03,1.434,Aug 2016,2016-08-31
ZENSARTECH.NS,26.547516,153.57,4076.98,198.56,5271.27,29.567,Sep 2016,2016-09-30
RATNAMANI.NS,8.010401,412.59,3304.98,362.07,2900.3,16.268,Sep 2016,2016-09-30
ATUL.NS,1.654677,1270.31,2101.95,2284.35,3779.86,21.202,Sep 2016,2016-09-30
BAJFINANCE.NS,36.640501,56.73,2078.61,105.59,3868.87,21.701,Sep 2016,2016-09-30
KAJARIACER.NS,1.446345,508.66,735.7,694.58,1004.59,5.635,Sep 2016,2016-09-30
TVSSRICHAK.NS,0.033835,2328.15,78.77,4021.85,136.08,0.763,Sep 2016,2016-09-30
VGUARD.NS,2.480695,99.69,247.29,131.21,325.5,1.826,Sep 2016,2016-09-30
AARTIIND.NS,1.933279,127.91,247.29,150.81,291.57,1.635,Sep 2016,2016-09-30
AVANTIFEED.NS,1.43149,172.75,247.29,174.78,250.2,1.403,Sep 2016,2016-09-30
ZENSARTECH.NS,26.547516,153.57,4076.98,183.8,4879.43,26.619,Oct 2016,2016-10-28
ATUL.NS,1.654677,1270.31,2101.95,2309.3,3821.14,20.846,Oct 2016,2016-10-28
BAJFINANCE.NS,44.551758,65.95,2938.32,107.25,4778.4,26.068,Oct 2016,2016-10-28
KAJARIACER.NS,1.446345,508.66,735.7,620.75,897.82,4.898,Oct 2016,2016-10-28
TVSSRICHAK.NS,0.033835,2328.15,78.77,3684.25,124.66,0.68,Oct 2016,2016-10-28
VGUARD.NS,8.986656,123.18,1107.01,149.43,1342.86,7.326,Oct 2016,2016-10-28
AARTIIND.NS,1.933279,127.91,247.29,183.95,355.62,1.94,Oct 2016,2016-10-28
AVANTIFEED.NS,1.43149,172.75,247.29,197.67,282.96,1.544,Oct 2016,2016-10-28
IGL.NS,10.871475,79.08,859.72,86.0,934.95,5.1,Oct 2016,2016-10-28
VAKRANGEE.NS,7.769663,110.65,859.72,117.48,912.75,4.979,Oct 2016,2016-10-28
ZENSARTECH.NS,26.547516,153.57,4076.98,201.06,5337.64,30.306,Nov 2016,2016-11-30
ATUL.NS,1.654677,1270.31,2101.95,2234.75,3697.79,20.995,Nov 2016,2016-11-30
BAJFINANCE.NS,44.551758,65.95,2938.32,91.98,4097.87,23.267,Nov 2016,2016-11-30
KAJARIACER.NS,1.446345,508.66,735.7,533.6,771.77,4.382,Nov 2016,2016-11-30
TVSSRICHAK.NS,0.033835,2328.15,78.77,3488.1,118.02,0.67,Nov 2016,2016-11-30
VGUARD.NS,8.986656,123.18,1107.01,122.71,1102.79,6.261,Nov 2016,2016-11-30
AARTIIND.NS,1.933279,127.91,247.29,176.15,340.54,1.934,Nov 2016,2016-11-30
AVANTIFEED.NS,1.43149,172.75,247.29,170.7,244.36,1.387,Nov 2016,2016-11-30
IGL.NS,10.871475,79.08,859.72,82.9,901.3,5.117,Nov 2016,2016-11-30
VAKRANGEE.NS,7.769663,110.65,859.72,128.75,1000.35,5.68,Nov 2016,2016-11-30
ZENSARTECH.NS,26.547516,153.57,4076.98,190.0,5044.03,30.381,Dec 2016,2016-12-30
ATUL.NS,1.654677,1270.31,2101.95,2077.9,3438.25,20.709,Dec 2016,2016-12-30
BAJFINANCE.NS,44.551758,65.95,2938.32,84.22,3752.15,22.6,Dec 2016,2016-12-30
KAJARIACER.NS,1.446345,508.66,735.7,465.6,673.42,4.056,Dec 2016,2016-12-30
TVSSRICHAK.NS,0.033835,2328.15,78.77,3203.25,108.38,0.653,Dec 2016,2016-12-30
VGUARD.NS,8.986656,123.18,1107.01,115.93,1041.81,6.275,Dec 2016,2016-12-30
AARTIIND.NS,1.933279,127.91,247.29,166.44,321.77,1.938,Dec 2016,2016-12-30
AVANTIFEED.NS,1.43149,172.75,247.29,163.35,233.83,1.408,Dec 2016,2016-12-30
IGL.NS,10.871475,79.08,859.72,91.82,998.27,6.013,Dec 2016,2016-12-30
VAKRANGEE.NS,7.769663,110.65,859.72,127.52,990.76,5.967,Dec 2016,2016-12-30
ZENSARTECH.NS,26.547516,153.57,4076.98,178.54,4739.79,26.171,Jan 2017,2017-01-31
ATUL.NS,1.654677,1270.31,2101.95,2269.8,3755.79,20.738,Jan 2017,2017-01-31
BAJFINANCE.NS,44.551758,65.95,2938.32,103.69,4619.57,25.507,Jan 2017,2017-01-31
KAJARIACER.NS,1.446345,508.66,735.7,579.3,837.87,4.626,Jan 2017,2017-01-31
TVSSRICHAK.NS,0.033835,2328.15,78.77,3200.7,108.29,0.598,Jan 2017,2017-01-31
VGUARD.NS,8.986656,123.18,1107.01,146.5,1316.55,7.269,Jan 2017,2017-01-31
AARTIIND.NS,1.933279,127.91,247.29,174.54,337.44,1.863,Jan 2017,2017-01-31
AVANTIFEED.NS,1.43149,172.75,247.29,187.03,267.74,1.478,Jan 2017,2017-01-31
IGL.NS,10.871475,79.08,859.72,93.95,1021.38,5.64,Jan 2017,2017-01-31
VAKRANGEE.NS,7.769663,110.65,859.72,142.38,1106.23,6.108,Jan 2017,2017-01-31
ZENSARTECH.NS,26.547516,153.57,4076.98,183.75,4878.11,25.846,Feb 2017,2017-02-28
ATUL.NS,1.654677,1270.31,2101.95,2228.3,3687.12,19.536,Feb 2017,2017-02-28
BAJFINANCE.NS,44.551758,65.95,2938.32,110.82,4937.23,26.159,Feb 2017,2017-02-28
KAJARIACER.NS,1.446345,508.66,735.7,584.35,845.17,4.478,Feb 2017,2017-02-28
TVSSRICHAK.NS,0.033835,2328.15,78.77,3025.05,102.35,0.542,Feb 2017,2017-02-28
VGUARD.NS,8.986656,123.18,1107.01,162.0,1455.84,7.714,Feb 2017,2017-02-28
AARTIIND.NS,1.933279,127.91,247.29,187.92,363.3,1.925,Feb 2017,2017-02-28
AVANTIFEED.NS,1.43149,172.75,247.29,225.15,322.3,1.708,Feb 2017,2017-02-28
IGL.NS,10.871475,79.08,859.72,104.32,1134.06,6.009,Feb 2017,2017-02-28
VAKRANGEE.NS,7.769663,110.65,859.72,147.78,1148.22,6.084,Feb 2017,2017-02-28
ZENSARTECH.NS,26.547516,153.57,4076.98,185.01,4911.56,25.042,Mar 2017,2017-03-31
ATUL.NS,1.654677,1270.31,2101.95,2391.85,3957.74,20.179,Mar 2017,2017-03-31
BAJFINANCE.NS,44.551758,65.95,2938.32,117.11,5217.46,26.602,Mar 2017,2017-03-31
KAJARIACER.NS,1.446345,508.66,735.7,583.5,843.94,4.303,Mar 2017,2017-03-31
TVSSRICHAK.NS,0.033835,2328.15,78.77,3495.95,118.28,0.603,Mar 2017,2017-03-31
VGUARD.NS,8.986656,123.18,1107.01,173.4,1558.29,7.945,Mar 2017,2017-03-31
AARTIIND.NS,1.933279,127.91,247.29,186.02,359.64,1.834,Mar 2017,2017-03-31
AVANTIFEED.NS,1.43149,172.75,247.29,245.83,351.91,1.794,Mar 2017,2017-03-31
IGL.NS,10.871475,79.08,859.72,101.5,1103.4,5.626,Mar 2017,2017-03-31
VAKRANGEE.NS,7.769663,110.65,859.72,153.26,1190.75,6.071,Mar 2017,2017-03-31
ZENSARTECH.NS,26.547516,153.57,4076.98,173.04,4593.78,22.577,Apr 2017,2017-04-28
ATUL.NS,1.654677,1270.31,2101.95,2443.2,4042.71,19.868,Apr 2017,2017-04-28
BAJFINANCE.NS,44.551758,65.95,2938.32,127.62,5685.7,27.943,Apr 2017,2017-04-28
KAJARIACER.NS,1.446345,508.66,735.7,663.75,960.01,4.718,Apr 2017,2017-04-28
TVSSRICHAK.NS,0.033835,2328.15,78.77,4030.9,136.38,0.67,Apr 2017,2017-04-28
VGUARD.NS,8.986656,123.18,1107.01,190.4,1711.06,8.409,Apr 2017,2017-04-28
AARTIIND.NS,1.933279,127.91,247.29,213.3,412.37,2.027,Apr 2017,2017-04-28
AVANTIFEED.NS,1.43149,172.75,247.29,291.37,417.09,2.05,Apr 2017,2017-04-28
IGL.NS,10.871475,79.08,859.72,105.77,1149.88,5.651,Apr 2017,2017-04-28
VAKRANGEE.NS,7.769663,110.65,859.72,159.41,1238.53,6.087,Apr 2017,2017-04-28
ZENSARTECH.NS,26.547516,153.57,4076.98,173.18,4597.5,21.873,May 2017,2017-05-31
ATUL.NS,1.654677,1270.31,2101.95,2510.1,4153.4,19.76,May 2017,2017-05-31
BAJFINANCE.NS,44.551758,65.95,2938.32,132.7,5911.8,28.126,May 2017,2017-05-31
