Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,8,164.69,1
Sep 2014,2014-09-30,6,12,0.0,0
Oct 2014,2014-10-31,6,13,0.0,0
Nov 2014,2014-11-28,5,15,0.0,0
Dec 2014,2014-12-31,6,19,0.0,0
Jan 2015,2015-01-30,6,20,0.0,0
Feb 2015,2015-02-27,6,19,155.09,1
Mar 2015,2015-03-31,6,20,0.0,0
Apr 2015,2015-04-30,6,20,134.55,1
May 2015,2015-05-29,6,22,0.0,0
Jun 2015,2015-06-30,6,23,0.0,0
Jul 2015,2015-07-31,6,22,1144.47,7
Aug 2015,2015-08-31,6,22,647.04,2
Sep 2015,2015-09-30,5,23,615.31,3
Oct 2015,2015-10-30,6,24,882.94,2
Nov 2015,2015-11-30,6,27,733.61,3
Dec 2015,2015-12-31,6,27,0.0,0
Jan 2016,2016-01-29,6,26,550.47,4
Feb 2016,2016-02-29,6,24,891.0,6
Mar 2016,2016-03-31,6,23,776.58,3
Apr 2016,2016-04-29,6,23,0.0,0
May 2016,2016-05-31,6,23,0.0,0
Jun 2016,2016-06-30,6,24,268.52,1
Jul 2016,2016-07-29,6,25,177.29,1
Aug 2016,2016-08-31,6,25,0.0,0
Sep 2016,2016-09-30,6,28,695.15,3
Oct 2016,2016-10-28,6,28,618.99,2
Nov 2016,2016-11-30,6,30,256.96,2
Dec 2016,2016-12-30,6,31,69.46,2
Jan 2017,2017-01-31,6,29,188.55,3
Feb 2017,2017-02-28,6,31,251.62,1
Mar 2017,2017-03-31,6,31,296.84,1
Apr 2017,2017-04-28,6,29,937.74,5
May 2017,2017-05-31,6,29,426.85,2
Jun 2017,2017-06-30,6,27,659.25,6
Jul 2017,2017-07-31,6,29,1091.14,5
Aug 2017,2017-08-31,6,27,387.46,3
Sep 2017,2017-09-29,6,27,0.0,0
Oct 2017,2017-10-31,6,28,3760.7,5
Nov 2017,2017-11-30,6,29,757.86,3
Dec 2017,2017-12-29,6,33,17.79,1
Jan 2018,2018-01-31,6,33,155.58,2
Feb 2018,2018-02-28,6,30,3802.23,8
Mar 2018,2018-03-28,6,31,1004.06,6
Apr 2018,2018-04-30,6,32,219.95,1
May 2018,2018-05-31,6,28,3858.8,17
Jun 2018,2018-06-29,6,30,3600.6,26
Jul 2018,2018-07-31,6,28,1058.03,7
Aug 2018,2018-08-31,6,29,936.76,4
Sep 2018,2018-09-28,6,27,2022.49,7
Oct 2018,2018-10-31,6,28,986.8,3
Nov 2018,2018-11-30,5,27,1038.47,5
Dec 2018,2018-12-31,6,28,153.89,1
Jan 2019,2019-01-31,6,24,2062.08,9
Feb 2019,2019-02-28,6,24,0.0,0
Mar 2019,2019-03-29,6,24,0.0,0
Apr 2019,2019-04-30,6,26,4791.64,6
May 2019,2019-05-31,6,26,5291.01,12
Jun 2019,2019-06-28,6,28,2493.51,11
Jul 2019,2019-07-31,6,27,3067.48,9
Aug 2019,2019-08-30,6,28,1483.63,3
Sep 2019,2019-09-30,6,30,413.27,1
Oct 2019,2019-10-31,5,32,897.23,3
Nov 2019,2019-11-29,6,32,428.21,2
Dec 2019,2019-12-31,6,33,98.08,2
Jan 2020,2020-01-31,6,33,2434.36,8
Feb 2020,2020-02-28,6,33,0.0,0
