Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Aug 2014,2014-08-28,JSWSTEEL.NS,1.520944,164.69,Lot-sellable (within limit),0.0,1080.84
Feb 2015,2015-02-27,HERITGFOOD.NS,1.966584,155.09,Lot-sellable (within limit),0.0,8800.24
Apr 2015,2015-04-30,ARVIND.NS,1.602739,134.55,Lot-sellable (within limit),0.0,11015.02
Jul 2015,2015-07-31,BPCL.NS,3.087702,268.48,Lot-sellable (within limit),7.809774,15562.08
Jul 2015,2015-07-31,TATASTEEL.NS,22.508164,122.2,Lot-sellable (within limit),49.645415,15562.08
Jul 2015,2015-07-31,TATASTEEL.NS,23.629287,128.29,Lot-sellable (within limit),26.016128,15562.08
Jul 2015,2015-07-31,TATASTEEL.NS,26.016128,141.25,Lot-sellable (within limit),0.0,15562.08
Jul 2015,2015-07-31,ASTRAL.NS,0.843352,139.37,Lot-sellable (within limit),2.086834,15562.08
Jul 2015,2015-07-31,ASTRAL.NS,0.963304,159.19,Lot-sellable (within limit),1.12353,15562.08
Jul 2015,2015-07-31,ASTRAL.NS,1.12353,185.67,Lot-sellable (within limit),0.0,15562.08
Aug 2015,2015-08-31,VTL.NS,4.037775,457.17,Lot-sellable (within limit),0.0,15822.45
Aug 2015,2015-08-31,VAKRANGEE.NS,3.587265,189.86,Lot-sellable (within limit),0.0,15822.45
Sep 2015,2015-09-30,BPCL.NS,2.582832,211.56,Lot-sellable (within limit),6.491641,17249.85
Sep 2015,2015-09-30,CHOLAFIN.NS,2.501547,313.97,Lot-sellable (within limit),6.285958,17249.85
Sep 2015,2015-09-30,LT.NS,0.10637,89.77,Lot-sellable (within limit),0.0,17249.85
Oct 2015,2015-10-30,AARTIIND.NS,3.474866,413.74,Lot-sellable (within limit),23.742259,17128.29
Oct 2015,2015-10-30,AARTIIND.NS,3.94067,469.2,Lot-sellable (within limit),19.801589,17128.29
Nov 2015,2015-11-30,BPCL.NS,2.720907,236.25,Lot-sellable (within limit),5.558023,17798.23
Nov 2015,2015-11-30,CHOLAFIN.NS,1.813047,225.34,Lot-sellable (within limit),5.651147,17798.23
Nov 2015,2015-11-30,CHOLAFIN.NS,2.188655,272.02,Lot-sellable (within limit),3.462492,17798.23
Jan 2016,2016-01-29,WHEELS.NS,0.385142,173.29,Lot-sellable (within limit),0.617237,18327.83
Jan 2016,2016-01-29,WHEELS.NS,0.369714,166.35,Lot-sellable (within limit),0.247524,18327.83
Jan 2016,2016-01-29,WHEELS.NS,0.247524,111.37,Lot-sellable (within limit),0.0,18327.83
Jan 2016,2016-01-29,KPRMILL.NS,1.416504,99.46,Lot-sellable (within limit),0.0,18327.83
Feb 2016,2016-02-29,BPCL.NS,2.506035,188.29,Lot-sellable (within limit),3.051989,16606.52
Feb 2016,2016-02-29,BPCL.NS,1.264699,95.02,Lot-sellable (within limit),1.78729,16606.52
Feb 2016,2016-02-29,BPCL.NS,1.78729,134.29,Lot-sellable (within limit),0.0,16606.52
Feb 2016,2016-02-29,BBTC.NS,0.794785,259.73,Lot-sellable (within limit),0.0,16606.52
Feb 2016,2016-02-29,BLUEDART.NS,0.029443,151.97,Lot-sellable (within limit),0.0,16606.52
Feb 2016,2016-02-29,ARVIND.NS,0.762886,61.69,Lot-sellable (within limit),0.0,16606.52
Mar 2016,2016-03-31,TATAELXSI.NS,0.595131,516.96,Lot-sellable (within limit),0.0,19414.41
Mar 2016,2016-03-31,ASTRAL.NS,0.662273,121.47,Lot-sellable (within limit),0.0,19414.41
Mar 2016,2016-03-31,SONATSOFTW.NS,3.531627,138.15,Lot-sellable (within limit),0.0,19414.41
Jun 2016,2016-06-30,CHOLAFIN.NS,1.463857,268.52,Lot-sellable (within limit),1.998636,21990.6
Jul 2016,2016-07-29,M&M.NS,0.263245,177.29,Lot-sellable (within limit),0.0,25500.22
Sep 2016,2016-09-30,CHOLAFIN.NS,0.8204,183.99,Lot-sellable (within limit),1.334413,28454.78
Sep 2016,2016-09-30,HERITGFOOD.NS,1.382733,279.35,Lot-sellable (within limit),2.737348,28454.78
Sep 2016,2016-09-30,NOCIL.NS,3.732335,231.8,Lot-sellable (within limit),8.825906,28454.78
Oct 2016,2016-10-28,CHOLAFIN.NS,1.178236,270.65,Lot-sellable (within limit),0.156177,30476.34
Oct 2016,2016-10-28,HERITGFOOD.NS,1.630283,348.33,Lot-sellable (within limit),1.107065,30476.34
Nov 2016,2016-11-30,CHOLAFIN.NS,0.156177,29.37,Lot-sellable (within limit),0.0,28275.89
Nov 2016,2016-11-30,HERITGFOOD.NS,1.107065,227.59,Lot-sellable (within limit),0.0,28275.89
Dec 2016,2016-12-30,GREENPLY.NS,0.146377,36.62,Lot-sellable (within limit),0.0,26884.92
Dec 2016,2016-12-30,JKTYRE.NS,0.32217,32.84,Lot-sellable (within limit),0.0,26884.92
Jan 2017,2017-01-31,NOCIL.NS,1.821169,119.0,Lot-sellable (within limit),7.004738,30419.99
Jan 2017,2017-01-31,TVTODAY.NS,0.111432,27.29,Lot-sellable (within limit),0.0,30419.99
Jan 2017,2017-01-31,FINCABLES.NS,0.103982,42.27,Lot-sellable (within limit),0.0,30419.99
Feb 2017,2017-02-28,NOCIL.NS,3.384483,251.62,Lot-sellable (within limit),3.620255,32045.95
Mar 2017,2017-03-31,NOCIL.NS,3.620255,296.84,Lot-sellable (within limit),0.0,34037.33
Apr 2017,2017-04-28,LAOPALA.NS,1.032655,267.19,Lot-sellable (within limit),1.406528,37274.41
Apr 2017,2017-04-28,LAOPALA.NS,0.923355,238.91,Lot-sellable (within limit),0.483173,37274.41
Apr 2017,2017-04-28,LAOPALA.NS,0.483173,125.02,Lot-sellable (within limit),0.0,37274.41
Apr 2017,2017-04-28,KEC.NS,1.276702,263.48,Lot-sellable (within limit),0.0,37274.41
Apr 2017,2017-04-28,SONATSOFTW.NS,0.933624,43.13,Lot-sellable (within limit),0.0,37274.41
May 2017,2017-05-31,TATASTEEL.NS,27.088213,385.6,Lot-sellable (within limit),0.0,39252.34
May 2017,2017-05-31,HIMATSEIDE.NS,0.128922,41.24,Lot-sellable (within limit),0.0,39252.34
Jun 2017,2017-06-30,HINDPETRO.NS,1.840455,296.9,Lot-sellable (within limit),1.25898,42006.72
Jun 2017,2017-06-30,HINDPETRO.NS,0.305575,49.3,Lot-sellable (within limit),0.953405,42006.72
Jun 2017,2017-06-30,HINDPETRO.NS,0.953405,153.8,Lot-sellable (within limit),0.0,42006.72
Jun 2017,2017-06-30,ARVIND.NS,0.419343,52.22,Lot-sellable (within limit),0.0,42006.72
Jun 2017,2017-06-30,KRBL.NS,0.118777,41.86,Lot-sellable (within limit),0.0,42006.72
Jun 2017,2017-06-30,DCMSHRIRAM.NS,0.214597,65.16,Lot-sellable (within limit),0.0,42006.72
Jul 2017,2017-07-31,ATUL.NS,0.195772,418.72,Lot-sellable (within limit),0.314387,44914.28
Jul 2017,2017-07-31,ATUL.NS,0.163918,350.59,Lot-sellable (within limit),0.150469,44914.28
Jul 2017,2017-07-31,ATUL.NS,0.075225,160.89,Lot-sellable (within limit),0.075244,44914.28
Jul 2017,2017-07-31,ATUL.NS,0.044654,95.51,Lot-sellable (within limit),0.03059,44914.28
Jul 2017,2017-07-31,ATUL.NS,0.03059,65.43,Lot-sellable (within limit),0.0,44914.28
Aug 2017,2017-08-31,CEATLTD.NS,0.066974,105.3,Lot-sellable (within limit),0.0,44436.72
Aug 2017,2017-08-31,MRF.NS,0.001628,103.31,Lot-sellable (within limit),0.0,44436.72
Aug 2017,2017-08-31,APLAPOLLO.NS,1.180428,178.86,Lot-sellable (within limit),0.0,44436.72
Oct 2017,2017-10-31,TIDEWATER.NS,0.431045,167.75,Lot-sellable (partial mode),0.523936,41367.73
Oct 2017,2017-10-31,TIDEWATER.NS,0.342452,133.27,Lot-sellable (partial mode),0.181484,41367.73
Oct 2017,2017-10-31,VSTIND.NS,35.322373,1062.6,Lot-sellable (partial mode),116.328166,41367.73
Oct 2017,2017-10-31,VSTIND.NS,40.850202,1228.89,Lot-sellable (partial mode),75.477964,41367.73
Oct 2017,2017-10-31,VSTIND.NS,38.83249,1168.19,Lot-sellable (partial mode),36.645475,41367.73
Nov 2017,2017-11-30,VSTIND.NS,0.270615,8.46,Lot-sellable (within limit),36.374859,43788.52
Nov 2017,2017-11-30,VSTIND.NS,18.028695,563.35,Lot-sellable (within limit),18.346164,43788.52
Nov 2017,2017-11-30,VSTIND.NS,5.954382,186.06,Lot-sellable (within limit),12.391781,43788.52
Dec 2017,2017-12-29,FINPIPE.NS,0.148371,17.79,Lot-sellable (within limit),0.401559,46477.49
Jan 2018,2018-01-31,TRIDENT.NS,9.106205,59.81,Lot-sellable (within limit),14.580865,43865.19
Jan 2018,2018-01-31,TRIDENT.NS,14.580865,95.77,Lot-sellable (within limit),0.0,43865.19
Feb 2018,2018-02-28,HERITGFOOD.NS,1.869316,591.83,Lot-sellable (partial mode),0.0,41824.52
Feb 2018,2018-02-28,NAVINFLUOR.NS,0.032717,25.4,Lot-sellable (partial mode),0.0,41824.52
Feb 2018,2018-02-28,FINPIPE.NS,0.401559,47.67,Lot-sellable (partial mode),0.215423,41824.52
Feb 2018,2018-02-28,FINPIPE.NS,0.215423,25.57,Lot-sellable (partial mode),0.0,41824.52
Feb 2018,2018-02-28,VSTIND.NS,2.359731,71.6,Lot-sellable (partial mode),10.03205,41824.52
Feb 2018,2018-02-28,CANFINHOME.NS,2.436585,1254.34,Lot-sellable (partial mode),19.845178,41824.52
Feb 2018,2018-02-28,CANFINHOME.NS,1.981381,1020.0,Lot-sellable (partial mode),17.863796,41824.52
Feb 2018,2018-02-28,CANFINHOME.NS,1.487631,765.82,Lot-sellable (partial mode),16.376165,41824.52
Mar 2018,2018-03-28,VSTIND.NS,2.483425,69.64,Lot-sellable (within limit),7.548625,44167.3
Mar 2018,2018-03-28,EICHERMOT.NS,0.005979,14.84,Lot-sellable (within limit),0.558252,44167.3
Mar 2018,2018-03-28,EICHERMOT.NS,0.023424,58.16,Lot-sellable (within limit),0.534828,44167.3
Mar 2018,2018-03-28,EICHERMOT.NS,0.229962,570.95,Lot-sellable (within limit),0.304866,44167.3
Mar 2018,2018-03-28,EICHERMOT.NS,0.046668,115.87,Lot-sellable (within limit),0.258198,44167.3
Mar 2018,2018-03-28,IOC.NS,2.372769,174.6,Lot-sellable (within limit),0.0,44167.3
Apr 2018,2018-04-30,VSTIND.NS,7.548625,219.95,Lot-sellable (within limit),0.0,47003.2
May 2018,2018-05-31,DCMSHRIRAM.NS,0.329845,83.9,Lot-sellable (partial mode),0.091065,42446.84
May 2018,2018-05-31,DCMSHRIRAM.NS,0.091065,23.16,Lot-sellable (partial mode),0.0,42446.84
May 2018,2018-05-31,CEATLTD.NS,0.001845,2.32,Lot-sellable (partial mode),0.520091,42446.84
May 2018,2018-05-31,CEATLTD.NS,0.014473,18.17,Lot-sellable (partial mode),0.505618,42446.84
May 2018,2018-05-31,CEATLTD.NS,0.364728,457.84,Lot-sellable (partial mode),0.14089,42446.84
May 2018,2018-05-31,CEATLTD.NS,0.115046,144.42,Lot-sellable (partial mode),0.025844,42446.84
