Date,Portfolio_Value,Bank,Month,Equity
2014-07-01,1000.0,11000.0,Jul 2014,12000.0
2014-07-02,1028.98,11000.0,Jul 2014,12028.98
2014-07-03,1047.7,11000.0,Jul 2014,12047.7
2014-07-04,1063.2,11000.0,Jul 2014,12063.2
2014-07-07,1066.93,11000.0,Jul 2014,12066.93
2014-07-08,1027.68,11000.0,Jul 2014,12027.68
2014-07-09,1027.59,11000.0,Jul 2014,12027.59
2014-07-10,1029.0,11000.0,Jul 2014,12029.0
2014-07-11,1003.76,11000.0,Jul 2014,12003.76
2014-07-14,1006.86,11000.0,Jul 2014,12006.86
2014-07-15,1025.75,11000.0,Jul 2014,12025.75
2014-07-16,1036.15,11000.0,Jul 2014,12036.15
2014-07-17,1064.39,11000.0,Jul 2014,12064.39
2014-07-18,1056.54,11000.0,Jul 2014,12056.54
2014-07-21,1057.62,11000.0,Jul 2014,12057.619999999999
2014-07-22,1069.21,11000.0,Jul 2014,12069.21
2014-07-23,1102.22,11000.0,Jul 2014,12102.22
2014-07-24,1128.38,11000.0,Jul 2014,12128.380000000001
2014-07-25,1094.65,11000.0,Jul 2014,12094.65
2014-07-28,1073.27,11000.0,Jul 2014,12073.27
2014-07-30,1060.59,11000.0,Jul 2014,12060.59
2014-07-31,1067.28,11000.0,Jul 2014,12067.28
2014-08-01,2066.4,10000.0,Aug 2014,12066.4
2014-08-04,2089.54,10000.0,Aug 2014,12089.54
2014-08-05,2148.82,10000.0,Aug 2014,12148.82
2014-08-06,2140.28,10000.0,Aug 2014,12140.28
2014-08-07,2139.8,10000.0,Aug 2014,12139.8
2014-08-08,2106.32,10000.0,Aug 2014,12106.32
2014-08-11,2120.87,10000.0,Aug 2014,12120.869999999999
2014-08-12,2148.71,10000.0,Aug 2014,12148.71
2014-08-13,2146.07,10000.0,Aug 2014,12146.07
2014-08-14,2155.08,10000.0,Aug 2014,12155.08
2014-08-18,2196.59,10000.0,Aug 2014,12196.59
2014-08-19,2249.04,10000.0,Aug 2014,12249.04
2014-08-20,2284.84,10000.0,Aug 2014,12284.84
2014-08-21,2316.79,10000.0,Aug 2014,12316.79
2014-08-22,2309.66,10000.0,Aug 2014,12309.66
2014-08-25,2301.6,10000.0,Aug 2014,12301.6
2014-08-26,2343.56,10000.0,Aug 2014,12343.56
2014-08-27,2401.7,10000.0,Aug 2014,12401.7
2014-08-28,2361.33,10000.0,Aug 2014,12361.33
2014-09-01,3357.14,9000.0,Sep 2014,12357.14
2014-09-02,3355.26,9000.0,Sep 2014,12355.26
2014-09-03,3401.07,9000.0,Sep 2014,12401.07
2014-09-04,3387.67,9000.0,Sep 2014,12387.67
2014-09-05,3380.43,9000.0,Sep 2014,12380.43
2014-09-08,3489.5,9000.0,Sep 2014,12489.5
2014-09-09,3514.59,9000.0,Sep 2014,12514.59
2014-09-10,3505.32,9000.0,Sep 2014,12505.32
2014-09-11,3506.72,9000.0,Sep 2014,12506.72
2014-09-12,3544.09,9000.0,Sep 2014,12544.09
2014-09-15,3537.81,9000.0,Sep 2014,12537.81
2014-09-16,3441.17,9000.0,Sep 2014,12441.17
2014-09-17,3440.26,9000.0,Sep 2014,12440.26
2014-09-18,3511.34,9000.0,Sep 2014,12511.34
2014-09-19,3522.1,9000.0,Sep 2014,12522.1
2014-09-22,3548.86,9000.0,Sep 2014,12548.86
2014-09-23,3485.34,9000.0,Sep 2014,12485.34
2014-09-24,3441.12,9000.0,Sep 2014,12441.119999999999
2014-09-25,3357.81,9000.0,Sep 2014,12357.81
2014-09-26,3375.84,9000.0,Sep 2014,12375.84
2014-09-29,3408.03,9000.0,Sep 2014,12408.03
2014-09-30,3447.79,9000.0,Sep 2014,12447.79
2014-10-01,4438.85,8000.0,Oct 2014,12438.85
2014-10-07,4416.0,8000.0,Oct 2014,12416.0
2014-10-08,4436.4,8000.0,Oct 2014,12436.4
2014-10-09,4493.15,8000.0,Oct 2014,12493.15
2014-10-10,4407.67,8000.0,Oct 2014,12407.67
2014-10-13,4420.94,8000.0,Oct 2014,12420.939999999999
2014-10-14,4409.81,8000.0,Oct 2014,12409.810000000001
2014-10-16,4289.3,8000.0,Oct 2014,12289.3
2014-10-17,4274.99,8000.0,Oct 2014,12274.99
2014-10-20,4357.78,8000.0,Oct 2014,12357.779999999999
2014-10-21,4400.99,8000.0,Oct 2014,12400.99
2014-10-22,4425.88,8000.0,Oct 2014,12425.880000000001
2014-10-23,4425.88,8000.0,Oct 2014,12425.880000000001
2014-10-27,4456.19,8000.0,Oct 2014,12456.189999999999
2014-10-28,4455.89,8000.0,Oct 2014,12455.89
2014-10-29,4488.41,8000.0,Oct 2014,12488.41
2014-10-30,4561.0,8000.0,Oct 2014,12561.0
2014-10-31,4637.51,8000.0,Oct 2014,12637.51
