Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,8,164.69,1
Sep 2014,2014-09-30,6,12,0.0,0
Oct 2014,2014-10-31,6,13,0.0,0
Nov 2014,2014-11-28,5,13,153.68,1
Dec 2014,2014-12-31,6,16,0.0,0
Jan 2015,2015-01-30,6,17,0.0,0
Feb 2015,2015-02-27,6,17,0.0,0
Mar 2015,2015-03-31,6,19,0.0,0
Apr 2015,2015-04-30,6,19,134.55,1
May 2015,2015-05-29,6,20,0.0,0
Jun 2015,2015-06-30,6,21,0.0,0
Jul 2015,2015-07-31,6,20,1282.2,8
Aug 2015,2015-08-31,6,19,669.89,2
Sep 2015,2015-09-30,5,22,525.54,2
Oct 2015,2015-10-30,6,23,882.94,2
Nov 2015,2015-11-30,6,26,775.42,3
Dec 2015,2015-12-31,6,26,0.0,0
Jan 2016,2016-01-29,6,25,276.26,2
Feb 2016,2016-02-29,6,23,863.63,6
Mar 2016,2016-03-31,6,22,262.3,2
Apr 2016,2016-04-29,6,22,167.01,1
May 2016,2016-05-31,6,22,0.0,0
Jun 2016,2016-06-30,6,23,532.91,2
Jul 2016,2016-07-29,6,23,177.29,1
Aug 2016,2016-08-31,6,23,0.0,0
Sep 2016,2016-09-30,6,24,627.07,3
Oct 2016,2016-10-28,6,24,618.99,2
Nov 2016,2016-11-30,6,26,269.93,2
Dec 2016,2016-12-30,6,27,72.97,2
Jan 2017,2017-01-31,6,27,44.4,1
Feb 2017,2017-02-28,6,27,0.0,0
Mar 2017,2017-03-31,6,27,0.0,0
Apr 2017,2017-04-28,6,27,506.11,2
May 2017,2017-05-31,6,29,540.56,3
Jun 2017,2017-06-30,6,28,369.45,4
Jul 2017,2017-07-31,6,30,1077.07,4
Aug 2017,2017-08-31,6,28,293.46,3
Sep 2017,2017-09-29,6,28,0.0,0
Oct 2017,2017-10-31,6,29,4240.43,8
Nov 2017,2017-11-30,6,29,0.0,0
Dec 2017,2017-12-29,6,33,18.69,1
Jan 2018,2018-01-31,6,34,45.3,1
Feb 2018,2018-02-28,6,33,10751.46,26
Mar 2018,2018-03-28,6,33,187.95,2
Apr 2018,2018-04-30,6,34,118.71,1
May 2018,2018-05-31,6,28,2584.03,17
Jun 2018,2018-06-29,6,30,335.76,2
Jul 2018,2018-07-31,6,31,341.39,3
Aug 2018,2018-08-31,6,31,1181.41,8
Sep 2018,2018-09-28,6,28,3869.86,7
Oct 2018,2018-10-31,6,29,658.81,3
Nov 2018,2018-11-30,5,29,1178.24,4
Dec 2018,2018-12-31,6,29,0.0,0
Jan 2019,2019-01-31,6,27,570.15,5
Feb 2019,2019-02-28,6,27,0.0,0
Mar 2019,2019-03-29,6,27,0.0,0
Apr 2019,2019-04-30,6,30,9589.27,22
May 2019,2019-05-31,6,30,0.0,0
Jun 2019,2019-06-28,6,32,81.33,1
Jul 2019,2019-07-31,6,31,2520.35,8
Aug 2019,2019-08-30,6,31,2226.43,4
Sep 2019,2019-09-30,6,33,790.76,1
Oct 2019,2019-10-31,5,35,846.47,3
Nov 2019,2019-11-29,6,35,456.38,2
Dec 2019,2019-12-31,6,36,72.22,1
Jan 2020,2020-01-31,6,35,2102.74,7
Feb 2020,2020-02-28,6,35,0.0,0
